measurement,measurement_2,class
114583,271979,six
101198,56771,six
87917,47031,six
73437,51667,six
87395,50521,six
85833,43229,six
94323,55469,six
98125,58073,six
95730,22761,six
96406,55625,six
104219,65365,six
26563,25052,six
143229,55625,six
99375,58333,six
92916,71145,six
98490,64636,six
89166,62448,six
97865,62656,six
87708,53125,six
14583,60364,six
11615,62083,six
101562,55625,six
102812,64062,six
98750,64635,six
138541,93593,six
85469,49479,six
10104,60156,six
93073,54584,six
106406,72031,six
83593,65156,six
99167,62083,six
107552,74635,six
106042,60468,six
97500,65260,six
100365,64584,six
95156,66979,six
106198,71718,six
109271,59375,six
93906,63750,six
89532,51822,six
63645,20885,six
106718,72292,six
96042,55260,six
134792,107656,six
85625,46459,six
96459,61718,six
102969,56667,six
77552,46094,six
94167,63021,six
105625,72500,six
88229,55104,six
97136,48907,six
89531,62187,six
100313,57500,six
103489,63177,six
89323,62396,six
103593,64636,six
96875,64791,six
80156,55781,six
94531,61667,six
93490,63333,six
92865,66407,six
96198,61823,six
77552,44792,six
76615,45156,six
92500,61511,six
160313,499271,six
106771,31666,six
102448,63698,six
95365,66094,six
99635,55313,six
79844,57292,six
220468,141510,six
17760,59740,six
100313,56042,six
191354,63750,six
87083,59427,six
92344,61354,six
97188,60156,six
97031,58333,six
85313,46927,six
96146,60886,six
88386,57396,six
97187,63073,six
106407,66094,six
92136,56459,six
95312,62032,six
10469,70156,six
95156,63333,six
93594,24583,six
101875,62865,six
183958,143698,six
96354,62135,six
95364,55781,six
100729,62917,six
97448,63541,six
97136,63542,six
95208,60104,six
94583,63281,six
100937,64323,six
109427,73698,six
67813,32395,seven
63959,38906,seven
55573,30990,seven
91615,57084,seven
49010,53021,seven
50261,26979,seven
70261,32291,seven
9271,27708,seven
9427,117552,seven
72240,38698,seven
74636,37969,seven
77969,42291,seven
62552,29531,seven
72813,30208,seven
47136,27917,seven
90261,55678,seven
58438,28230,seven
108073,54219,seven
70938,38229,seven
65573,38333,seven
54115,35938,seven
83803,55000,seven
68334,37656,seven
68073,37657,seven
67240,29948,seven
115990,46407,seven
64948,30573,seven
62969,30000,seven
161875,203854,seven
78854,37552,seven
58020,36666,seven
24531,28958,seven
50156,34791,seven
57239,31146,seven
70521,43542,seven
66615,39218,seven
50052,29010,seven
72761,40000,seven
66719,38281,seven
76927,30625,seven
68489,27136,seven
70886,40000,seven
